Date,CustomerID,ProductID,ProductName,Category,Quantity,Price,CustomerRegion,Revenue,Month,Year,Quarter,Weekday,Month_Name
2023-04-13,436,29,Product_15,Books,3,4.63,Asia,13.89,2023-04,2023,2,Thursday,April
2024-10-23,309,2,Product_24,Home & Garden,1,27.7,North America,27.7,2024-10,2024,4,Wednesday,October
2024-04-04,314,22,Product_44,Electronics,2,18.69,Oceania,37.38,2024-04,2024,2,Thursday,April
2024-07-16,876,3,Product_37,Books,2,10.69,Oceania,21.38,2024-07,2024,3,Tuesday,July
2023-08-30,777,26,Product_2,Home & Garden,2,30.88,Europe,61.76,2023-08,2023,3,Wednesday,August
2024-01-23,2,6,Product_42,Home & Garden,3,55.0,Oceania,165.0,2024-01,2024,1,Tuesday,January
2023-09-28,456,14,Product_23,Home & Garden,1,16.85,Africa,16.85,2023-09,2023,3,Thursday,September
2023-08-05,764,45,Product_41,Sports,1,23.42,Asia,23.42,2023-08,2023,3,Saturday,August
2024-05-13,593,8,Product_35,Books,1,64.69,North America,64.69,2024-05,2024,2,Monday,May
2023-01-28,135,9,Product_8,Home & Garden,1,15.19,Oceania,15.19,2023-01,2023,1,Saturday,January
2024-06-30,961,35,Product_37,Toys,4,13.76,Europe,55.04,2024-06,2024,2,Sunday,June
2024-07-07,892,13,Product_32,Toys,3,76.66,Africa,229.98,2024-07,2024,3,Sunday,July
2024-07-09,340,30,Product_11,Clothing,1,69.68,Asia,69.68,2024-07,2024,3,Tuesday,July
2024-09-24,628,13,Product_41,Books,1,33.95,North America,33.95,2024-09,2024,3,Tuesday,September
2023-11-14,677,33,Product_42,Home & Garden,1,52.17,Oceania,52.17,2023-11,2023,4,Tuesday,November
2024-05-11,442,12,Product_39,Clothing,1,28.97,North America,28.97,2024-05,2024,2,Saturday,May
2024-02-07,638,2,Product_44,Clothing,3,39.01,Oceania,117.03,2024-02,2024,1,Wednesday,February
2023-10-07,837,34,Product_6,Beauty,1,27.68,Africa,27.68,2023-10,2023,4,Saturday,October
