Date,CustomerID,ProductID,ProductName,Category,Quantity,Price,CustomerRegion
2023-04-13,436,29,Product_15,Books,3,4.63,Asia
2024-10-23,309,2,Product_24,Home & Garden,1,27.7,North America
2024-04-04,314,22,Product_44,Electronics,2,18.69,Oceania
2024-07-16,876,3,Product_37,Books,2,10.69,Oceania
2023-08-30,777,26,Product_2,Home & Garden,2,30.88,Europe
2024-01-23,2,6,Product_42,Home & Garden,3,55.0,Oceania
2023-09-28,456,14,Product_23,Home & Garden,1,16.85,Africa
2023-08-05,764,45,Product_41,Sports,1,23.42,Asia
2024-05-13,593,8,Product_35,Books,1,64.69,North America
2023-01-28,135,9,Product_8,Home & Garden,1,15.19,Oceania
2024-06-30,961,35,Product_37,Toys,4,13.76,Europe
2024-07-07,892,13,Product_32,Toys,3,76.66,Africa
2023-06-09,839,22,Product_28,Clothing,2,167.66,South America
2024-07-09,340,30,Product_11,Clothing,1,69.68,Asia
2024-09-24,628,13,Product_41,Books,1,33.95,North America
2023-11-14,677,33,Product_42,Home & Garden,1,52.17,Oceania
2024-05-11,442,12,Product_39,Clothing,1,28.97,North America
2024-02-07,638,2,Product_44,Clothing,3,39.01,Oceania
2023-10-07,837,34,Product_6,Beauty,1,27.68,Africa
2024-10-21,764,36,Product_19,Clothing,1,79.13,South America
2024-05-03,929,40,Product_39,Clothing,3,136.02,Europe
2024-09-15,572,49,Product_2,Electronics,1,55.81,Africa
2023-06-09,9,41,Product_35,Books,5,51.86,Oceania
2023-12-04,706,35,Product_16,Sports,3,22.6,South America
2024-05-18,896,8,Product_7,Books,2,11.25,Oceania
2023-08-18,365,8,Product_27,Books,3,21.39,Africa
2024-10-20,516,35,Product_49,Electronics,2,53.15,Africa
2024-05-11,302,31,Product_35,Home & Garden,2,60.25,Asia
2023-05-08,18,25,Product_42,Toys,2,65.71,Asia
2024-05-04,386,26,Product_17,Electronics,1,15.62,Europe
2024-06-21,867,50,Product_25,Sports,1,26.18,South America
2023-12-20,834,32,Product_23,Toys,1,37.68,Oceania
2023-05-05,150,22,Product_49,Home & Garden,1,54.18,Africa
2024-07-25,620,5,Product_39,Home & Garden,2,5.67,South America
2024-10-17,269,50,Product_42,Beauty,1,12.1,Europe
2024-04-18,117,23,Product_9,Home & Garden,1,4.78,Europe
2023-04-06,638,48,Product_25,Sports,3,11.84,Asia
2023-03-27,697,29,Product_14,Home & Garden,1,,Oceania
2024-03-28,204,16,Product_26,Clothing,2,4.75,Africa
2023-04-10,802,31,Product_10,Clothing,4,12.21,Europe
2024-05-11,988,32,Product_27,Home & Garden,3,68.0,North America
2023-06-17,842,43,Product_44,Sports,1,44.0,Europe
2023-09-10,499,50,Product_35,Toys,1,77.25,Europe
2023-04-25,617,7,Product_4,Clothing,5,28.4,North America
2023-07-11,739,49,Product_35,Home & Garden,2,114.57,North America
2023-09-30,881,20,Product_48,Electronics,2,29.03,North America
2023-03-17,265,7,Product_28,Beauty,3,48.53,Africa
2024-04-28,565,23,Product_16,Electronics,1,20.72,Europe
2024-02-02,223,5,Product_35,Toys,7,27.39,Europe
2024-05-31,29,37,Product_38,Books,3,11.43,Africa
2023-05-12,804,6,Product_31,Books,4,32.65,Europe
2024-10-21,476,8,Product_41,Toys,4,41.52,Oceania
2023-04-27,134,44,Product_45,Sports,1,43.96,Africa
2024-11-06,227,19,Product_20,Electronics,4,82.15,Oceania
2023-09-16,656,23,Product_11,Home & Garden,1,19.32,Europe
2023-12-14,676,26,Product_8,Clothing,1,34.54,South America
2024-12-04,923,17,Product_9,Electronics,3,37.83,North America
2024-03-25,10,30,Product_50,Books,1,66.31,North America
2024-01-09,65,18,Product_32,Toys,1,53.67,Africa
2024-09-01,105,35,Product_1,Sports,1,38.94,North America
2024-12-09,863,5,Product_38,Books,6,15.84,Africa
2024-03-21,449,49,Product_40,Clothing,1,37.24,Europe
2024-03-13,118,3,Product_50,Home & Garden,2,56.5,Africa
2024-07-31,75,39,Product_38,Home & Garden,4,101.73,North America
2023-06-15,481,24,Product_15,Home & Garden,2,35.69,North America
2024-05-22,852,24,Product_5,Clothing,2,106.33,Asia
2023-04-21,761,23,Product_16,Toys,2,21.79,Asia
2023-04-03,672,50,Product_19,Sports,1,122.39,Africa
2024-05-27,645,41,Product_12,Clothing,1,13.42,North America
2023-08-02,239,30,Product_43,Toys,1,14.32,North America
2023-09-10,692,15,Product_47,Toys,3,34.03,Asia
2023-01-07,3,47,Product_23,Beauty,1,45.92,Oceania
2023-01-15,192,25,Product_37,Home & Garden,1,15.94,South America
2024-06-20,145,13,Product_20,Electronics,3,23.91,Europe
2024-09-14,776,40,Product_49,Home & Garden,1,19.31,Europe
2024-03-18,952,45,Product_6,Sports,1,11.08,Oceania
2024-05-17,624,4,Product_30,Books,1,73.07,Oceania
2024-08-28,504,38,Product_2,Toys,3,46.53,South America
2024-12-24,225,20,Product_49,Home & Garden,1,9.29,Asia
2024-05-25,868,13,Product_43,Books,1,73.08,Europe
2023-09-18,919,10,Product_44,Clothing,2,88.54,Oceania
2024-02-23,606,31,Product_49,Sports,2,71.86,North America
2024-08-10,995,35,Product_1,Beauty,1,63.3,South America
2023-10-18,725,37,Product_5,Books,2,59.87,North America
2024-02-06,296,8,Product_39,Beauty,3,5.84,Europe
2024-09-07,104,39,Product_6,Beauty,3,82.84,North America
2024-04-22,231,27,Product_36,Sports,1,74.62,Oceania
2024-06-05,517,10,Product_33,Beauty,1,19.69,South America
2024-11-26,15,29,Product_8,Sports,4,101.05,Asia
2023-03-10,660,11,Product_10,Beauty,1,145.24,Asia
2024-01-31,218,13,Product_40,Beauty,1,76.42,South America
2023-12-22,324,5,Product_37,Toys,1,18.16,Oceania
2023-02-20,29,14,Product_40,Electronics,2,43.49,Africa
2024-03-06,969,9,Product_10,Home & Garden,2,87.9,Europe
2023-03-16,806,2,Product_7,Clothing,3,35.8,South America
2024-12-10,501,24,Product_33,Electronics,3,52.61,North America
2023-03-25,361,49,Product_20,Beauty,2,15.96,Asia
2024-12-23,318,32,Product_30,Sports,4,15.0,Asia
2023-06-24,194,28,Product_49,Clothing,2,25.9,Europe
2024-04-02,979,46,Product_34,Home & Garden,5,34.92,Asia
2023-11-24,54,47,Product_37,Books,10,7.43,Europe
2024-11-03,151,21,Product_19,Sports,7,18.84,Asia
2024-04-15,119,12,Product_20,Sports,2,30.91,South America
2023-10-07,593,10,Product_30,Books,3,58.85,Europe
2023-08-25,281,39,Product_9,Beauty,2,52.02,Oceania
2023-05-26,128,21,Product_42,Home & Garden,1,65.17,Oceania
2024-01-13,588,23,Product_42,Beauty,1,50.49,North America
2024-03-30,906,45,Product_17,Clothing,2,82.11,Oceania
2023-12-29,705,36,Product_26,Sports,1,101.68,Asia
2023-11-06,98,47,Product_24,Beauty,1,19.16,Europe
2024-07-01,751,20,Product_19,Books,3,28.01,North America
2024-10-02,217,43,Product_40,Clothing,1,168.58,South America
2023-06-21,435,30,Product_38,Clothing,1,82.26,North America
2023-11-26,569,49,Product_47,Home & Garden,7,25.27,North America
2024-04-10,89,12,Product_15,Books,2,57.13,Africa
2023-03-27,250,7,Product_14,Toys,5,48.74,Asia
2024-02-06,443,42,Product_39,Electronics,2,83.96,Europe
2023-07-02,983,44,Product_39,Toys,4,40.07,South America
2024-03-25,311,35,Product_42,Clothing,1,44.38,Asia
2023-02-08,814,29,Product_49,Sports,1,86.38,South America
2023-08-27,377,10,Product_30,Electronics,2,41.38,Europe
2023-11-20,146,37,Product_25,Electronics,1,37.47,North America
2023-12-10,964,12,Product_37,Sports,4,74.68,South America
2024-07-24,584,20,Product_29,Toys,2,,North America
2023-08-06,937,49,Product_3,Beauty,2,185.79,Asia
2024-05-04,419,50,Product_18,Beauty,5,58.74,Africa
2024-09-01,267,41,Product_3,Books,1,51.59,Africa
2024-01-30,955,34,Product_24,Home & Garden,1,53.42,Europe
2024-03-29,37,48,Product_13,Home & Garden,1,41.14,Africa
2023-04-25,698,3,Product_40,Clothing,5,92.99,North America
2023-12-29,557,25,Product_42,Home & Garden,3,30.82,Europe
2023-12-22,258,14,Product_13,Sports,1,20.14,Asia
2023-04-23,233,17,Product_40,Toys,1,34.93,Europe
2023-08-21,224,34,Product_28,Home & Garden,1,48.09,South America
2024-04-28,242,4,Product_27,Electronics,3,146.81,South America
2023-01-07,29,11,Product_33,Beauty,2,22.06,Europe
2024-03-05,738,29,Product_4,Electronics,1,44.6,Asia
2023-05-10,687,14,Product_20,Beauty,1,91.76,Oceania
2024-03-15,604,29,Product_21,Toys,2,77.88,Africa
2023-06-12,832,49,Product_25,Home & Garden,3,35.35,Africa
2023-11-05,520,15,Product_27,Beauty,1,24.01,Europe
2024-07-11,527,25,Product_30,Beauty,2,79.83,North America
2024-12-26,501,2,Product_24,Books,3,18.15,Oceania
2024-06-27,11,45,Product_25,Electronics,4,118.79,Oceania
2024-11-02,463,16,Product_22,Home & Garden,3,48.76,Africa
2024-08-11,116,26,Product_22,Toys,1,4.4,Oceania
2023-05-02,143,34,Product_42,Toys,2,48.84,North America
2024-01-05,716,8,Product_8,Clothing,4,77.03,Oceania
2023-11-10,22,26,Product_3,Toys,3,,Asia
2024-08-16,966,18,Product_19,Beauty,2,26.81,Asia
2023-02-04,445,29,Product_15,Electronics,3,55.31,Oceania
2024-06-15,956,24,Product_50,Electronics,2,84.6,South America
2024-07-31,335,34,Product_36,Beauty,3,23.51,North America
2024-06-03,100,48,Product_30,Toys,2,2.87,Oceania
2024-07-06,318,47,Product_14,Toys,2,,Africa
2023-09-18,449,40,Product_12,Home & Garden,2,38.93,Oceania
2024-08-14,970,29,Product_10,Home & Garden,2,,South America
2023-10-11,121,43,Product_37,Toys,4,75.57,South America
2023-09-08,957,20,Product_50,Beauty,1,69.84,Asia
2023-07-17,485,5,Product_33,Electronics,3,43.37,Oceania
2023-08-05,306,29,Product_39,Toys,1,57.06,Oceania
2023-11-04,336,50,Product_42,Home & Garden,3,4.08,Oceania
